wallet,n_borrows,n_repays,n_liquidations,repayment_rate,log_repay_score,recency_weight,weighted_score,wallet_age_days,max_loan_usd,n_assets,total_borrowed,total_repaid,survived_luna,survived_covid,defaulted,reputation_score,ml_collateral_ratio,latent_risk,default_prob,ml_reputation
0x0000000000000000000000000000000000000000,10,8,0,0.8645971854801721,70.52551863193497,0.4857659347120072,34.25889447929097,732.2885283967073,4874.023738707254,1,27330.35284012869,23629.74614375529,1,0,0,0.4356950148378045,1.2004342165730577,0.1760779875325578,0.0014473885768591292,0.9985526114231409
0x0000000000000000000000000000000000000001,4,3,0,0.8813293296950574,29.00670503214783,0.913334159087881,26.492814548446944,210.38432733638783,9597.303398801654,2,19868.18108936907,17510.41072175366,0,0,0,0.3369281876494365,1.3354192030397327,0.1126798435493671,0.45139734346577615,0.5486026565342239
0x0000000000000000000000000000000000000002,6,5,0,0.899012052414166,51.12203843239391,0.687060554705752,35.12393608304933,912.2397925814596,5724.5335384302125,5,14110.25585125294,12685.290072923905,1,1,0,0.4466963714231036,1.200314456048809,0.2429458841305172,0.001048186829363446,0.9989518131706365
0x0000000000000000000000000000000000000003,3,2,0,0.9099981871182125,20.157645702177422,0.5368124295766432,10.820874763931045,833.0342681209886,1845.734768093822,4,2241.1020230285417,2039.3987781029311,1,0,0,0.137616851404206,1.2021018640198748,0.0766791180803564,0.007006213399583139,0.9929937866004168
0x0000000000000000000000000000000000000004,4,3,0,0.8017473888454466,29.97344166166261,0.8090664887204089,24.250507200067386,188.732586088086,9977.998779593134,3,24364.52693026393,19534.19584679367,0,0,0,0.3084111514673814,1.343752142934166,0.2415720441184805,0.47917380978055296,0.5208261902194471
0x0000000000000000000000000000000000000005,8,6,0,0.8048598211680045,74.86661932362364,0.4695324951720886,35.15231057611992,875.0352220021433,13716.21260189772,3,57647.75055297215,46398.35820080289,1,0,0,0.4470572302706324,1.2009060209972728,0.0499268255837152,0.003020069990909524,0.9969799300090905
0x0000000000000000000000000000000000000006,5,4,0,0.9109017812238864,44.28912993011293,0.4937498332850039,21.867750519331132,294.08011027935714,5996.642072943828,2,20515.88166840799,18687.95315513132,0,0,0,0.2781079200541258,1.3266173068741818,0.2857251612458592,0.4220576895806061,0.5779423104193939
0x0000000000000000000000000000000000000007,2,1,0,0.960835192265895,11.272306674069696,0.783716769714306,8.834295773830915,108.44365345714286,823.0867633502727,5,851.4250423857728,818.0791443007319,0,0,0,0.1123520967843115,1.3710541587170808,0.080718113422383,0.5701805290569365,0.4298194709430635
0x0000000000000000000000000000000000000008,7,5,0,0.8157204184110352,45.43932744191282,0.5403740382339135,24.554232864419514,667.1176373187837,1384.173192414274,4,11042.08795133731,9007.25660379632,1,0,0,0.3122738493111929,1.2009545224424898,0.0858944408621431,0.0031817414749658033,0.9968182585250343
0x0000000000000000000000000000000000000009,4,3,0,0.8291168029559353,33.8696715427313,0.4087248950341638,13.843377946144455,664.1905196028007,3670.4676758917967,5,11067.261531341286,9176.052498342897,1,0,0,0.1760561994578283,1.2011768624929966,0.163893052139856,0.0039228749766556355,0.9960771250233443
0x000000000000000000000000000000000000000a,1,0,0,0.8021902730732466,8.582464132134188,0.6518785406995589,5.59472419406194,122.08404927864954,21907.29653720721,4,10564.223886258256,8474.517644124426,0,0,0,0.0711521337099401,1.357089923902591,0.2713910165654992,0.5236330796753035,0.4763669203246965
0x000000000000000000000000000000000000000b,10,9,0,0.9801166402839916,64.80319335073602,0.7472909159308827,48.426837714317614,339.2862546684849,579.8737406724018,4,3599.241048337289,3527.676043868576,0,0,0,0.615878944641422,1.3685432934883237,0.036865359320196,0.5618109782944123,0.4381890217055877
0x000000000000000000000000000000000000000c,5,4,0,0.8036312067743194,30.338402536195016,0.4599457919049894,13.954020579642558,993.0300283878724,2153.953981203173,5,7025.52831224952,5645.93379580023,1,1,0,0.177463321449835,1.2005484159255868,0.1866213480590915,0.0018280530852894275,0.9981719469147106
0x000000000000000000000000000000000000000d,2,1,0,0.8083399890883153,14.256833371002802,0.902080799443758,12.860815644850655,688.0738669984747,3611.959681748412,1,3087.312441155678,2495.5981049960005,1,0,0,0.163560247590495,1.2008292808932404,0.124839286658256,0.0027642696441345345,0.9972357303558654
0x000000000000000000000000000000000000000e,3,2,0,0.8227994937962785,20.786131730132183,0.3996750168781909,8.30769755007288,738.1729116052293,6524.322610002191,3,7775.3877755463745,6397.585125789329,1,0,0,0.1056549682166483,1.2011775435605931,0.0678410807668066,0.003925145201977073,0.9960748547980229
0x000000000000000000000000000000000000000f,2,1,0,0.9120946305694962,12.122523392069787,0.3550570831782914,4.304187796348906,236.5297670361765,723.3085978770782,1,696.3051706888562,635.0962074230823,0,0,0,0.0547394536308967,1.3251800380629848,0.1693960232462859,0.41726679354328267,0.5827332064567173
0x0000000000000000000000000000000000000010,2,1,0,0.964963985430825,16.924036417029733,0.3470572360778567,5.873609302175332,106.4186088737969,4156.106763688315,3,3267.585145520175,3153.1019847557104,0,0,0,0.0746989163240422,1.3174793843193136,0.0631999170923503,0.39159794773104556,0.6084020522689544
0x0000000000000000000000000000000000000011,2,1,0,0.8421527613415463,14.429586699502558,0.6128948098771403,8.843818796797333,298.5946390487095,2111.383669127786,1,3919.021123935386,3300.414461278036,0,0,0,0.112473207920433,1.3459774255006356,0.1826036039255366,0.48659141833545244,0.5134085816645475
0x0000000000000000000000000000000000000012,5,4,0,0.8132154588428132,28.192945385669205,0.4999309813763865,14.094526854548471,271.4314336373962,1379.4236996024497,5,3719.538070636543,3024.7858587960086,0,0,0,0.1792502408604115,1.3945187851962635,0.070002610152291,0.6483959506542116,0.35160404934578837
0x0000000000000000000000000000000000000013,5,4,0,0.8987078960777977,35.74434121908056,0.3892687041830958,13.914153388229908,257.5077777256115,4277.766759909711,5,10702.568953531634,9618.483226855971,0,0,0,0.1769563016869943,1.3763673690836813,0.0921825170193516,0.5878912302789375,0.4121087697210625
0x0000000000000000000000000000000000000014,7,5,0,0.8123134600512073,54.22280716533874,0.7663438931372678,41.55331713991704,216.9716922304284,2471.559362447975,4,8819.73778238067,7164.391714750003,0,0,0,0.528463437101863,1.3439199596025533,0.1483676580729395,0.47973319867517755,0.5202668013248224
0x0000000000000000000000000000000000000015,5,3,0,0.7758361309776641,46.00776313776279,0.9445965516708116,43.4587744100182,587.5130199357422,11567.648475289916,2,32375.357554392973,25117.97214401873,1,0,0,0.5526965084308686,1.2004864505569193,0.1849707924769143,0.0016215018563975803,0.9983784981436025
0x0000000000000000000000000000000000000016,4,3,0,0.9606131757632704,25.20543420488203,0.6451298622248609,16.26077829591334,348.2603715665672,1789.1632223363715,5,3933.2787380900095,3778.359379758793,0,0,0,0.206800019340812,1.4125059759849152,0.0831654995661236,0.7083532532830512,0.2916467467169488
0x0000000000000000000000000000000000000017,5,4,0,0.9455632066244124,44.50465853110165,0.3781963856579949,16.831501001405897,825.7346645961045,7316.288379525016,3,13356.985135331915,12629.87369539906,1,0,0,0.2140583106960151,1.2010793392974846,0.1430252432116133,0.0035977976582817306,0.9964022023417183
0x0000000000000000000000000000000000000018,3,2,0,0.975656294264196,20.50191993329748,0.5671887499267608,11.628458338065537,208.42899531196247,1635.1157598502648,4,2239.948230480624,2185.4195898943685,0,0,0,0.1478874728782291,1.3644679813784617,0.0976286889382934,0.5482266045948724,0.4517733954051276
0x0000000000000000000000000000000000000019,4,3,0,0.8795973775827365,25.92065424906707,0.5521516318079032,14.312131541150842,480.6882587424881,1253.5269485518977,3,6067.49292846118,5336.950868376252,0,0,0,0.1820176762548988,1.411119351026099,0.0760178669924506,0.7037311700869973,0.29626882991300274
0x000000000000000000000000000000000000001a,4,3,0,0.8193683180183786,32.38258987820316,0.4647607409128745,15.050156464471453,43.24810133329758,10438.669550616443,1,13478.929595477157,11044.207871334262,0,0,0,0.1914036703099965,1.2695458351181264,0.197159608118529,0.23181945039375462,0.7681805496062454
